q,K,path,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
24,4,2221,1,656,762,0,59,45,31,21,13,7,4,3,1,1,59,63,40,29,17,9,5,3,3,1,0
24,4,2221,2,656,788,0,59,45,31,21,13,7,4,3,1,1,64,59,42,25,17,11,7,4,2,1,1
24,4,2222,0,629,726,0,58,44,28,19,12,8,5,2,2,1,61,56,39,26,18,11,6,3,2,0,0
24,4,2222,1,629,784,0,58,44,28,19,12,8,5,2,2,1,62,61,43,26,14,10,6,3,2,2,1
24,4,2222,2,629,724,0,58,44,28,19,12,8,5,2,2,1,56,62,39,25,17,9,6,4,1,1,0
24,5,10000,0,1175,1485,76,75,55,37,23,16,9,5,3,2,1,0,101,75,53,33,19,12,8,5,3,2
24,5,10000,1,1175,1529,76,75,55,37,23,16,9,5,3,2,1,0,104,77,49,31,20,14,8,3,3,2
24,5,10000,2,1175,1531,76,75,55,37,23,16,9,5,3,2,1,0,99,76,51,34,22,12,6,5,2,1
24,5,10001,0,1111,1527,75,76,50,33,23,15,11,7,4,1,1,0,97,76,50,33,22,13,9,5,2,1
24,5,10001,1,1111,1485,75,76,50,33,23,15,11,7,4,1,1,0,100,74,51,31,20,13,8,5,3,1
24,5,10001,2,1111,1382,75,76,50,33,23,15,11,7,4,1,1,0,100,72,45,32,21,14,8,4,2,1
24,5,10002,0,1162,1448,75,75,53,37,25,16,11,7,3,2,1,0,105,77,53,33,20,12,8,5,2,1
24,5,10002,1,1162,1450,75,75,53,37,25,16,11,7,3,2,1,0,100,74,52,35,23,14,8,4,2,1
24,5,10002,2,1162,1487,75,75,53,37,25,16,11,7,3,2,1,0,100,79,50,34,22,14,8,4,2,1
24,5,10010,0,1142,1427,77,77,54,35,21,15,12,7,5,2,0,0,100,79,52,32,19,12,9,4,2,1
24,5,10010,1,1142,1439,77,77,54,35,21,15,12,7,5,2,0,0,101,75,50,34,20,14,7,4,3,1
24,5,10010,2,1142,1487,77,77,54,35,21,15,12,7,5,2,0,0,104,74,49,31,23,15,10,6,2,0
24,5,10011,0,1097,1442,74,77,49,34,23,15,8,7,3,2,2,0,101,69,48,29,21,15,8,6,2,1
24,5,10011,1,1097,1447,74,77,49,34,23,15,8,7,3,2,2,0,102,74,43,31,22,11,8,4,3,2
24,5,10011,2,1097,1353,74,77,49,34,23,15,8,7,3,2,2,0,91,77,52,34,17,11,6,4,2,1
24,5,10012,0,1128,1519,77,74,53,34,24,16,9,4,4,3,1,0,94,77,51,33,21,14,7,4,3,1
24,5,10012,1,1128,1463,77,74,53,34,24,16,9,4,4,3,1,0,99,78,53,32,20,12,8,5,2,1
24,5,10012,2,1128,1435,77,74,53,34,24,16,9,4,4,3,1,0,107,68,45,31,21,12,7,4,4,3
24,5,10020,0,1090,1351,78,73,52,34,25,17,9,4,3,2,1,0,99,71,45,31,23,14,6,2,2,2
24,5,10020,1,1090,1339,78,73,52,34,25,17,9,4,3,2,1,0,101,76,50,32,21,11,5,3,2,1
24,5,10020,2,1090,1351,78,73,52,34,25,17,9,4,3,2,1,0,98,73,52,32,17,11,8,5,2,0
24,5,10021,0,1127,1392,72,78,56,36,23,15,10,6,3,2,1,0,93,76,53,37,21,13,6,2,1,1
24,5,10021,1,1127,1412,72,78,56,36,23,15,10,6,3,2,1,0,102,79,50,28,22,12,7,5,2,1
