q,K,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
26,4,2,1585,1638,0,95,71,48,29,22,17,10,6,4,1,0,104,99,71,48,29,18,12,9,6,3
26,4,0,1443,1451,0,96,71,47,30,18,13,8,6,4,2,0,96,101,64,42,28,17,12,7,4,2
26,4,1,1443,1382,0,96,71,47,30,18,13,8,6,4,2,0,101,98,67,41,28,16,10,7,4,1
26,4,2,1443,1462,0,96,71,47,30,18,13,8,6,4,2,0,98,96,68,45,25,18,11,6,4,3
26,4,0,1545,1542,0,92,73,49,32,22,14,9,4,2,2,0,99,103,67,44,29,18,12,7,3,2
26,4,1,1545,1588,0,92,73,49,32,22,14,9,4,2,2,0,103,100,72,47,29,18,11,6,4,3
26,4,2,1545,1567,0,92,73,49,32,22,14,9,4,2,2,0,100,99,71,46,30,20,11,7,4,2
26,4,0,1454,1446,0,98,72,47,31,19,10,7,6,4,2,0,101,102,64,41,28,16,11,7,3,2
26,4,1,1454,1470,0,98,72,47,31,19,10,7,6,4,2,0,102,94,69,46,26,14,10,7,5,3
26,4,2,1454,1422,0,98,72,47,31,19,10,7,6,4,2,0,94,101,66,40,26,19,9,6,5,2
26,5,0,1724,2169,0,105,112,77,46,30,20,14,10,5,2,140,145,108,71,39,27,18,12,8,3,1
26,5,1,1724,2170,0,105,112,77,46,30,20,14,10,5,2,145,139,106,71,47,30,18,9,6,4,2
26,5,2,1724,2123,0,105,112,77,46,30,20,14,10,5,2,139,140,105,65,44,27,18,13,6,3,2
26,5,0,1867,2424,0,112,112,76,46,30,20,15,10,7,4,146,146,112,69,45,30,21,14,10,4,2
26,5,1,1867,2398,0,112,112,76,46,30,20,15,10,7,4,146,144,103,69,46,31,21,12,7,5,2
26,5,2,1867,2439,0,112,112,76,46,30,20,15,10,7,4,144,146,109,74,45,29,18,14,8,6,4
26,5,0,1877,2359,0,112,105,71,53,33,20,12,9,7,4,146,142,106,72,48,32,20,13,8,5,3
26,5,1,1877,2427,0,112,105,71,53,33,20,12,9,7,4,142,143,104,70,50,29,20,12,9,5,2
26,5,2,1877,2391,0,112,105,71,53,33,20,12,9,7,4,143,146,109,72,45,29,17,12,8,6,4
26,5,0,1884,2331,0,112,108,76,55,31,21,16,9,6,3,154,142,112,77,46,30,19,10,8,5,3
26,5,1,1884,2398,0,112,108,76,55,31,21,16,9,6,3,142,145,106,74,55,33,18,11,6,4,3
26,5,2,1884,2374,0,112,108,76,55,31,21,16,9,6,3,145,154,111,70,44,27,22,17,8,4,1
26,5,0,1867,2282,0,108,110,78,58,40,22,12,7,5,4,150,148,113,73,47,33,20,11,7,2,2
26,5,1,1867,2300,0,108,110,78,58,40,22,12,7,5,4,148,149,106,78,54,33,19,8,5,5,2
26,5,2,1867,2282,0,108,110,78,58,40,22,12,7,5,4,149,150,120,78,50,27,14,12,7,5,3
26,5,0,1898,2364,0,110,112,80,46,33,23,15,11,6,4,151,149,109,72,50,33,22,13,7,4,2
26,5,1,1898,2366,0,110,112,80,46,33,23,15,11,6,4,149,143,114,74,45,29,20,14,10,5,2
26,5,2,1898,2392,0,110,112,80,46,33,23,15,11,6,4,143,151,110,75,46,33,20,12,7,4,3
26,5,0,1850,2324,0,103,111,70,51,35,21,13,9,5,4,148,136,110,69,47,34,19,11,6,4,3
26,5,1,1850,2411,0,103,111,70,51,35,21,13,9,5,4,136,143,98,70,51,31,20,13,8,5,3
26,5,2,1850,2356,0,103,111,70,51,35,21,13,9,5,4,143,148,116,74,45,27,18,12,9,5,3
26,5,0,1892,2469,0,111,112,81,47,27,20,14,9,6,3,147,144,101,69,46,31,20,12,8,6,4
26,5,1,1892,2539,0,111,112,81,47,27,20,14,9,6,3,144,146,108,72,46,27,19,14,9,5,3
26,5,2,1892,2398,0,111,112,81,47,27,20,14,9,6,3,146,147,117,73,41,28,20,13,8,5,3
26,5,1,1861,2481,0,112,103,72,47,34,25,14,7,4,3,136,151,108,74,45,30,20,12,8,5,3
26,5,2,1861,2372,0,112,103,72,47,34,25,14,7,4,3,151,140,112,68,46,31,18,10,7,4,3
26,5,0,1776,2188,0,100,113,66,52,34,21,13,7,4,4,138,147,107,65,45,28,19,11,5,5,3
26,5,1,1776,2211,0,100,113,66,52,34,21,13,7,4,4,147,133,109,70,44,27,17,12,9,4,3
26,5,2,1776,2234,0,100,113,66,52,34,21,13,7,4,4,133,138,102,70,50,32,17,9,5,3,2
26,5,0,1929,2375,0,113,113,86,50,33,23,14,11,6,4,150,151,118,82,54,30,15,10,8,5,3
26,5,1,1929,2421,0,113,113,86,50,33,23,14,11,6,4,151,155,114,67,44,34,22,16,7,3,2
26,5,2,1929,2376,0,113,113,86,50,33,23,14,11,6,4,155,150,111,81,46,30,24,12,9,5,2
